Trial,Bandit,Reward,Algorithm
223,3.0,4.641263675213605,ThompsonSampling
224,3.0,3.8657544050649215,ThompsonSampling
225,3.0,3.5793239136154846,ThompsonSampling
226,3.0,3.8849362327313655,ThompsonSampling
227,3.0,1.9861001461972267,ThompsonSampling
228,3.0,3.2044241240985354,ThompsonSampling
229,3.0,2.3822941130966804,ThompsonSampling
230,3.0,2.7514728140765556,ThompsonSampling
231,3.0,5.176215332257975,ThompsonSampling
232,3.0,4.400928225763492,ThompsonSampling
233,3.0,4.477414536684067,ThompsonSampling
234,3.0,3.872664796389526,ThompsonSampling
235,3.0,4.339932003485371,ThompsonSampling
236,3.0,2.6827899979189413,ThompsonSampling
237,3.0,4.231647705794244,ThompsonSampling
238,3.0,3.187803794759851,ThompsonSampling
239,3.0,4.165968856664197,ThompsonSampling
240,3.0,3.3293949668135534,ThompsonSampling
241,3.0,2.5013642346467635,ThompsonSampling
242,3.0,5.4179222474243,ThompsonSampling
243,3.0,4.451380910304419,ThompsonSampling
244,3.0,2.52672254860611,ThompsonSampling
245,3.0,4.12118205739062,ThompsonSampling
246,3.0,5.33410847731227,ThompsonSampling
247,3.0,4.37744746764242,ThompsonSampling
248,3.0,2.95147269494534,ThompsonSampling
249,3.0,3.3083762241355936,ThompsonSampling
250,3.0,4.8650264627924695,ThompsonSampling
251,3.0,4.852803422224687,ThompsonSampling
252,3.0,4.57655513500531,ThompsonSampling
253,3.0,3.3438491454825168,ThompsonSampling
254,3.0,3.221889079323323,ThompsonSampling
255,3.0,4.727178622006741,ThompsonSampling
256,3.0,3.8252242906967515,ThompsonSampling
257,3.0,4.697717091728668,ThompsonSampling
258,3.0,5.167012985069395,ThompsonSampling
259,3.0,3.8600953455614775,ThompsonSampling
260,3.0,4.305476748095831,ThompsonSampling
261,3.0,3.129041237572155,ThompsonSampling
262,3.0,2.360721903925311,ThompsonSampling
263,3.0,2.754089444363284,ThompsonSampling
264,3.0,4.539350526663394,ThompsonSampling
265,3.0,2.826862118817785,ThompsonSampling
266,3.0,2.244796314641945,ThompsonSampling
267,3.0,4.442870725644673,ThompsonSampling
268,3.0,2.600546104280765,ThompsonSampling
269,3.0,5.513054328313778,ThompsonSampling
270,3.0,2.8890584482236426,ThompsonSampling
271,3.0,4.734963672907223,ThompsonSampling
272,3.0,4.728156777083984,ThompsonSampling
273,3.0,4.772303459339509,ThompsonSampling
274,3.0,4.455567255978533,ThompsonSampling
275,3.0,3.662308850536561,ThompsonSampling
276,3.0,3.992231933530203,ThompsonSampling
277,3.0,3.0803627639991826,ThompsonSampling
278,3.0,4.275740774366739,ThompsonSampling
279,3.0,5.061389616873141,ThompsonSampling
280,3.0,2.903715248212567,ThompsonSampling
281,3.0,4.655156684109418,ThompsonSampling
282,3.0,2.6345854761290566,ThompsonSampling
283,3.0,2.9562002008786945,ThompsonSampling
284,3.0,3.8711665276888367,ThompsonSampling
285,3.0,5.697243701658809,ThompsonSampling
286,3.0,2.381801060319611,ThompsonSampling
287,3.0,4.328268513944857,ThompsonSampling
288,3.0,2.734002988413768,ThompsonSampling
289,3.0,3.2778639387346487,ThompsonSampling
290,3.0,3.127201751332362,ThompsonSampling
291,3.0,3.1529648105144137,ThompsonSampling
292,3.0,2.9489665544615487,ThompsonSampling
293,3.0,4.731862512311353,ThompsonSampling
294,3.0,3.344583785759883,ThompsonSampling
295,3.0,4.2023355335542485,ThompsonSampling
296,3.0,1.9241493068949649,ThompsonSampling
297,3.0,4.518154544480222,ThompsonSampling
298,3.0,3.1481957140648973,ThompsonSampling
299,3.0,3.2934620906308187,ThompsonSampling
300,3.0,2.422837711946318,ThompsonSampling
301,3.0,5.055901366502216,ThompsonSampling
302,3.0,2.5968417885248356,ThompsonSampling
303,3.0,3.107983561362486,ThompsonSampling
304,3.0,3.314486740523868,ThompsonSampling
305,3.0,0.24227733869296486,ThompsonSampling
306,3.0,5.534543110321721,ThompsonSampling
307,3.0,3.0259789627361857,ThompsonSampling
308,3.0,4.455831686484023,ThompsonSampling
309,3.0,3.5705469107370718,ThompsonSampling
310,3.0,3.3039270595759955,ThompsonSampling
311,3.0,4.806133200633292,ThompsonSampling
312,3.0,6.341986686424495,ThompsonSampling
313,3.0,3.039428119724161,ThompsonSampling
314,3.0,3.6361594126352323,ThompsonSampling
315,3.0,4.616252850516842,ThompsonSampling
316,3.0,4.423889415347986,ThompsonSampling
317,3.0,5.476289685429176,ThompsonSampling
318,3.0,5.329946653590678,ThompsonSampling
319,3.0,2.1341351089633926,ThompsonSampling
320,3.0,3.280471219530532,ThompsonSampling
321,3.0,4.419936172761473,ThompsonSampling
322,3.0,4.437962564191018,ThompsonSampling
323,3.0,4.276460296503858,ThompsonSampling
324,3.0,3.581867759101015,ThompsonSampling
325,3.0,3.2462315396810144,ThompsonSampling
326,3.0,5.450525936965192,ThompsonSampling
327,3.0,3.386493322173543,ThompsonSampling
328,3.0,4.639156839026845,ThompsonSampling
329,3.0,3.518412934842964,ThompsonSampling
330,3.0,4.5180541441289614,ThompsonSampling
331,3.0,5.557998413201242,ThompsonSampling
332,3.0,2.754012283796656,ThompsonSampling
333,3.0,1.7142787060664286,ThompsonSampling
334,3.0,3.197288676172715,ThompsonSampling
335,3.0,1.9412647030273096,ThompsonSampling
336,3.0,3.94745370711691,ThompsonSampling
337,3.0,4.459701048762955,ThompsonSampling
338,3.0,3.525246566110179,ThompsonSampling
339,3.0,4.841658283533385,ThompsonSampling
340,3.0,4.469422600803701,ThompsonSampling
