Trial,Cumulative Reward,Cumulative Regret
3538,14110.506206055194,45.493793944806384
3539,14114.45323432099,45.546765679009695
3540,14118.486278911134,45.51372108886608
3541,14122.233370758731,45.766629241268674
3542,14126.277012303797,45.722987696202836
3543,14131.801379828223,44.19862017177729
3544,14136.384155414817,43.61584458518337
3545,14141.521965981667,42.47803401833335
3546,14144.557141882726,43.44285811727423
3547,14148.080265295324,43.91973470467565
3548,14152.021098957875,43.97890104212456
3549,14156.586445189361,43.41355481063874
3550,14160.73489031721,43.26510968279035
3551,14164.411253676684,43.58874632331572
3552,14167.850383786727,44.149616213273475
3553,14173.116993997479,42.88300600252114
3554,14176.612280709562,43.387719290438326
3555,14179.876895819447,44.12310418055313
3556,14184.289313973846,43.71068602615378
3557,14188.377896248203,43.62210375179711
3558,14192.67170523053,43.32829476946972
3559,14196.401426594635,43.59857340536473
3560,14202.713321548981,41.286678451018815
3561,14207.280858236358,40.719141763642256
3562,14212.1115300597,39.88846994030064
3563,14214.90640919615,41.09359080385002
3564,14217.030452196866,42.96954780313354
3565,14221.85615424684,42.14384575316035
3566,14227.835093866464,40.164906133535624
3567,14232.674312115125,39.32568788487515
3568,14236.802045893673,39.197954106326506
3569,14240.151636192379,39.848363807621354
3570,14244.74700903406,39.252990965940626
3571,14249.224742112128,38.7752578878717
3572,14253.159014421519,38.840985578481195
3573,14256.436860905296,39.56313909470373
3574,14260.588369074992,39.41163092500756
3575,14266.127375337359,37.8726246626411
3576,14271.446686081556,36.55331391844447
3577,14275.23066810689,36.769331893110575
3578,14279.526354381094,36.47364561890572
3579,14283.068339109106,36.93166089089391
3580,14287.839743187942,36.16025681205792
3581,14292.397595304355,35.60240469564451
3582,14295.82870008721,36.171299912790346
3583,14299.84372326018,36.156276739820896
3584,14303.7057080482,36.294291951799096
3585,14307.370285864181,36.629714135819086
3586,14311.360451321123,36.63954867887696
3587,14314.465702342408,37.534297657592106
3588,14318.582558791044,37.41744120895601
3589,14321.975480782874,38.024519217126
3590,14328.743904219551,35.25609578044896
3591,14334.22289843492,33.77710156507965
3592,14337.056169513155,34.9438304868454
3593,14341.783329338332,34.216670661668104
3594,14345.958885311298,34.04111468870178
3595,14350.66372441267,33.33627558732951
3596,14356.139252954283,31.86074704571729
3597,14359.487458490474,32.51254150952627
3598,14363.67738428224,32.32261571775962
